timestamp,ch4_pct_lel,temperature_c,error_code,rssi,snr
2026-08-28T20:15:12,ch4_pct_lel,temperature_c,error_code,rssi,snr
2026-08-28T20:22:59,0.00,29.80,0,-116,6.25
2026-08-28T20:23:00,0.00,29.80,0,-115,6.00
2026-08-28T20:23:01,0.00,29.80,0,-115,6.00
2026-08-28T20:23:02,0.00,29.80,0,-115,6.00
2026-08-28T20:23:03,0.00,29.80,0,-116,6.25
2026-08-28T20:23:04,0.00,29.80,0,-116,6.50
2026-08-28T20:23:05,0.00,29.80,0,-115,6.00
2026-08-28T20:23:06,0.00,29.80,0,-116,6.50
2026-08-28T20:23:07,0.00,29.80,0,-115,6.25
2026-08-28T20:23:09,0.00,29.80,0,-115,5.75
2026-08-28T20:23:10,0.00,29.80,0,-115,6.25
2026-08-28T20:23:11,0.00,29.80,0,-116,6.50
2026-08-28T20:23:12,0.00,29.80,0,-116,6.50
2026-08-28T20:23:13,0.00,29.80,0,-116,6.00
2026-08-28T20:24:39,ch4_pct_lel,temperature_c,error_code,inir_a0_voltage,inir_ch4_analog_pctvol,inir_ch4_digital_pctvol,inir_temp_c,rssi,snr
2026-08-28T20:24:40,0.00,0.00,0,1.200,0.60,0.0120,2.9,-115,2.25
2026-08-28T20:24:41,0.00,30.40,0,1.259,0.70,0.0110,22.9,-115,6.75
2026-08-28T20:24:43,0.00,30.40,0,1.256,0.51,0.0120,22.9,-114,7.00
2026-08-28T20:24:44,0.00,30.40,0,1.254,0.31,0.0110,22.9,-114,6.50
2026-08-28T20:24:45,0.00,30.40,0,1.257,0.57,0.0120,22.9,-114,6.75
2026-08-28T20:24:46,0.00,38.00,0,1.000,0.51,0.0110,27.9,-115,2.00
2026-08-28T20:24:47,0.00,30.40,0,1.256,0.51,0.0120,22.9,-115,6.50
2026-08-28T20:24:48,0.00,30.40,0,1.255,0.38,0.0110,22.9,-114,6.75
2026-08-28T20:24:49,0.00,30.40,0,1.257,0.57,0.0110,22.9,-114,6.50
2026-08-28T20:24:50,0.00,30.40,0,1.258,0.64,0.0120,22.9,-114,6.50
2026-08-28T20:24:51,0.00,30.40,0,1.255,0.38,0.0110,22.9,-114,7.00
2026-08-28T20:24:52,0.00,30.40,0,1.255,0.38,0.0120,22.9,-111,8.00
2026-08-28T20:24:53,0.00,30.40,0,1.260,0.76,0.0120,22.9,-108,8.75
2026-08-28T20:24:55,0.00,30.40,0,1.252,0.18,0.0120,22.9,-108,8.75
2026-08-28T20:24:56,0.00,30.40,0,1.257,0.57,0.0110,22.9,-109,8.75
2026-08-28T20:24:57,0.00,30.40,0,1.255,0.38,0.0120,22.9,-108,8.50
2026-08-28T20:24:58,0.00,30.40,0,1.256,0.51,0.0110,22.9,-110,8.25
2026-08-28T20:24:59,0.00,30.40,0,1.256,0.51,0.0120,22.9,-109,8.25
2026-08-28T20:25:00,0.00,30.40,0,1.258,0.64,0.0120,22.9,-124,-8.25
2026-08-28T20:25:01,0.00,30.50,0,1.257,0.57,0.0120,22.9,-112,8.25
2026-08-28T20:25:02,0.00,30.50,0,1.256,0.44,0.0120,22.9,-109,8.50
2026-08-28T20:25:03,0.00,30.50,0,1.257,0.57,0.0120,22.9,-109,8.50
2026-08-28T20:25:04,0.00,30.50,0,1.257,0.57,0.0130,22.9,-109,8.25
2026-08-28T20:25:05,0.00,30.50,0,1.255,0.38,0.0120,22.9,-109,8.50
2026-08-28T20:25:07,0.00,30.50,0,1.256,0.51,0.0120,22.9,-109,8.25
2026-08-28T20:25:08,0.00,30.50,0,1.256,0.44,0.0120,22.9,-109,8.25
2026-08-28T20:25:10,0.00,30.50,0,1.256,0.44,0.0120,22.9,-109,8.25
2026-08-28T20:25:11,0.00,30.50,0,1.256,0.44,0.0120,22.9,-109,8.25
2026-08-28T20:25:12,0.00,30.50,0,1.255,0.38,0.0120,22.9,-109,8.25
2026-08-28T20:25:13,0.00,30.50,0,1.256,0.51,0.0120,22.9,-109,8.50
2026-08-28T20:25:14,0.00,30.50,0,1.256,0.51,0.0120,22.9,-109,8.00
2026-08-28T20:25:15,0.00,30.50,0,1.254,0.31,0.0120,22.9,-109,8.50
2026-08-28T20:25:16,0.00,30.50,0,1.254,0.31,0.0120,22.9,-109,8.25
2026-08-28T20:25:18,0.00,30.50,0,1.256,0.44,0.0120,22.9,-109,8.25
2026-08-28T20:25:19,0.00,30.50,0,1.253,0.25,0.0120,22.9,-109,8.50
2026-08-28T20:25:20,0.00,30.50,0,1.257,0.57,0.0120,22.9,-109,8.50
2026-08-28T20:25:21,0.00,30.50,0,1.257,0.57,0.0110,22.9,-110,8.00
2026-08-28T20:25:22,0.00,30.50,0,1.255,0.38,0.0110,22.9,-110,8.25
2026-08-28T20:25:23,0.00,30.50,0,1.255,0.38,0.0110,22.9,-110,8.00
2026-08-28T20:25:24,0.00,30.50,0,1.252,0.18,0.0110,22.9,-110,8.50
2026-08-28T20:25:25,0.00,30.50,0,1.253,0.25,0.0110,22.9,-109,8.75
2026-08-28T20:25:26,0.00,30.50,0,1.256,0.51,0.0110,22.9,-109,8.75
2026-08-28T20:25:27,0.00,30.50,0,1.251,0.06,0.0110,22.9,-109,8.50
2026-08-28T20:25:28,0.00,30.50,0,1.256,0.44,0.0110,22.9,-110,8.25
2026-08-28T20:25:30,0.00,30.50,0,1.258,0.64,0.0110,23.9,-110,8.25
2026-08-28T20:25:31,0.00,30.50,0,1.257,0.57,0.0100,23.9,-110,8.25
2026-08-28T20:25:32,0.00,30.50,0,1.256,0.51,0.0110,23.9,-110,8.25
2026-08-28T20:25:33,0.00,30.60,0,1.254,0.31,0.0110,23.9,-110,8.25
2026-08-28T20:25:34,0.00,30.60,0,1.255,0.38,0.0100,23.9,-110,8.00
2026-08-28T20:25:35,0.00,30.60,0,1.256,0.44,0.0100,23.9,-111,8.25
2026-08-28T20:25:36,0.00,30.60,0,1.256,0.51,0.0110,23.9,-110,8.50
